,wavenumber (cm^-1),Background Subtracted Integrated OD
145,17323.479082677623,0.003906043903261821
146,17323.47922300804,0.006323575927971824
147,17323.47939038383,0.002388122755807909
148,17323.47939038383,0.0050022295546647815
149,17323.47941588814,0.007453660192710768
150,17323.479524499948,0.0017053000077925742
151,17323.479531137873,0.00216565009881928
152,17323.479603134347,0.0024482115986025153
153,17323.47975939578,0.0015271483649462489
154,17323.479822339326,0.00513586438445785
155,17323.479863818022,0.002577695409800511
156,17323.479909596357,0.0005825675623209489
157,17323.480098760556,0.00516929623756064
158,17323.480098760556,0.003280829463798705
159,17323.48025223006,0.001789333143020268
160,17323.48026319765,0.0013440071027977947
161,17323.48027282431,0.0002651103986714327
162,17323.4803920201,-0.0001380357636963001
163,17323.480717848845,-0.0005197675163146637
164,17323.480798037654,0.00020506663484567153
