,wavenumber (cm^-1),Unblocked Integrated OD
216,17323.485137376305,0.08657
217,17323.485137376305,0.090484
218,17323.485186473605,0.107992
219,17323.48535306552,0.100067
220,17323.485470690226,0.09668
221,17323.485756614697,0.098885
222,17323.485855950086,0.115582
223,17323.48586786833,0.101113
224,17323.48586786833,0.115595
225,17323.486016134237,0.120182
226,17323.486094775308,0.125
227,17323.48622457844,0.131411
228,17323.486289059714,0.109045
229,17323.486289059714,0.118896
230,17323.48635330082,0.128119
231,17323.48677063954,0.115855
232,17323.48688054891,0.112637
233,17323.48688054891,0.123848
234,17323.486886116094,0.115527
235,17323.486957762325,0.113301
236,17323.48703197033,0.111835
237,17323.487051580563,0.125619
238,17323.487155395716,0.111838
239,17323.487195580183,0.116301
240,17323.487440276134,0.10862
241,17323.48754982525,0.117141
242,17323.487563214516,0.100709
243,17323.48761902646,0.096147
244,17323.487778863702,0.089562
245,17323.487778863702,0.08976
246,17323.487798140373,0.107727
247,17323.487809027905,0.09072
248,17323.487809027905,0.102388
249,17323.48794559238,0.094205
250,17323.487995480227,0.08592
251,17323.488263325522,0.100415
252,17323.48844314659,0.084801
253,17323.48844314659,0.094831
254,17323.48850872529,0.088252
255,17323.48850872529,0.093332
256,17323.488689843925,0.089147
257,17323.488729197816,0.091447
258,17323.488787885086,0.08706
259,17323.48879921959,0.098848
260,17323.489042734724,0.086918
261,17323.489144915413,0.10458
262,17323.489144915413,0.107649
263,17323.489217145383,0.099973
264,17323.489342331988,0.107486
265,17323.489395341992,0.106684
266,17323.489432744536,0.104886
267,17323.48966246012,0.115193
268,17323.489690692986,0.106217
269,17323.489807323673,0.103714
270,17323.489811753403,0.109552
271,17323.489826360175,0.114712
272,17323.48982929554,0.108468
273,17323.490141071226,0.114234
274,17323.49014800269,0.112312
275,17323.49021058932,0.096522
276,17323.49042388021,0.094349
277,17323.49042599834,0.101916
278,17323.490458157255,0.107118
279,17323.490529279792,0.093851
280,17323.490857280038,0.086516
281,17323.490961492134,0.094045
282,17323.491006860186,0.081593
283,17323.49115742435,0.081317
284,17323.491362099277,0.056294
285,17323.49144927292,0.07714
286,17323.491489233897,0.075566
287,17323.49154735744,0.061721
288,17323.49154735744,0.068087
289,17323.49182641716,0.052158
290,17323.49182641716,0.062384
291,17323.49194978918,0.049486
292,17323.491981394374,0.052902
293,17323.49200332955,0.046011
294,17323.49219345775,0.04325
295,17323.49219345775,0.043845
296,17323.492432436407,0.042697
297,17323.492525193913,0.036821
298,17323.492690431558,0.042355
299,17323.492728954876,0.035132
300,17323.49284180628,0.032222
301,17323.49284180628,0.032383
302,17323.49285029215,0.02884
303,17323.493057738997,0.025659
304,17323.49309187928,0.029153
305,17323.493201945428,0.023346
306,17323.493219050593,0.024908
307,17323.493244821755,0.02308
308,17323.493404355457,0.019189
309,17323.4934604576,0.016635
310,17323.49349664597,0.019162
311,17323.49349664597,0.020964
312,17323.4936499587,0.014281
313,17323.493656359795,0.012528
314,17323.493656359795,0.014426
315,17323.49387692238,0.010129
316,17323.493915732564,0.00765
317,17323.493915732564,0.014002
318,17323.494105420457,0.00721
319,17323.494234843325,0.007207
320,17323.49440262273,0.005671
321,17323.49440262273,0.008391
322,17323.49444793074,0.007592
323,17323.494590169143,0.003293
324,17323.494608738656,0.00479
325,17323.494608738656,0.005197
326,17323.49464957357,0.00521
327,17323.494880736827,0.004195
328,17323.495053799885,0.001282
329,17323.495053799885,0.002561
330,17323.495200568086,0.002187
331,17323.49548651591,0.001666
332,17323.495601542152,0.005987
333,17323.495711938525,0.005524
334,17323.495734277312,0.007594
335,17323.495734277312,0.007799
336,17323.495738863818,0.006267
337,17323.4958283157,0.005903
338,17323.495904925367,0.002218
339,17323.49600315666,0.00449
340,17323.496260474672,0.005215
341,17323.496282349806,0.003512
342,17323.496301436342,0.003266
343,17323.496365687457,0.002741
344,17323.49643433495,0.006483
345,17323.49644343458,0.003163
346,17323.496565742524,0.003989
347,17323.496632115108,0.00511
348,17323.49689475347,0.005517
349,17323.4969999329,0.003885
350,17323.497090011886,0.004489
351,17323.497310391012,0.00234
352,17323.497321698833,0.001153
353,17323.497527297735,0.002128
354,17323.497778688314,0.004035
355,17323.497823315854,0.003034
356,17323.49786924096,0.002957
357,17323.498022066688,0.005101
358,17323.49807408934,0.005312
359,17323.498209279533,0.005177
360,17323.498247939613,0.005789
361,17323.498337675024,0.005216
362,17323.49837991091,0.005607
363,17323.4985540247,0.00802
364,17323.49856557269,0.006334
365,17323.498590076306,0.006049
366,17323.498752495336,0.004607
367,17323.498891835065,0.004461
368,17323.498891835065,0.006451
369,17323.498891835065,0.007681
370,17323.499073870997,0.00834
371,17323.499180448063,0.008591
372,17323.499180448063,0.009315
373,17323.499420587526,0.00766
374,17323.499466729445,0.012364
375,17323.499513615217,0.006969
376,17323.499513615217,0.010159
377,17323.49971675575,0.010375
378,17323.49985894078,0.008393
379,17323.49985894078,0.012795
380,17323.499874181325,0.011386
381,17323.50009939713,0.011309
382,17323.50009939713,0.012006
383,17323.50020548052,0.009831
384,17323.50020548052,0.010855
385,17323.5005228801,0.010051
386,17323.500546082818,0.011329
387,17323.50055850808,0.010131
388,17323.500783833962,0.010397
389,17323.500897972925,0.01035
390,17323.500897972925,0.011132
391,17323.500932149902,0.011014
392,17323.501013409452,0.009724
393,17323.501128542433,0.008022
394,17323.501245193132,0.006718
395,17323.501245193132,0.006811
396,17323.501245193132,0.008063
397,17323.501464915138,0.006596
398,17323.501744048244,0.005615
399,17323.50184504812,0.003875
400,17323.50184504812,0.00498
401,17323.50185214636,0.006374
402,17323.501988974353,0.007629
403,17323.502122249887,0.00469
404,17323.50217169743,0.004684
405,17323.502218122878,0.005313
406,17323.50236872707,0.004844
407,17323.50248660195,0.00338
408,17323.502592315082,0.004215
409,17323.50260739885,0.004628
410,17323.502708051816,0.006466
411,17323.502870417473,0.005827
412,17323.502886171707,0.004216
413,17323.502886171707,0.007969
414,17323.50304008485,0.005648
415,17323.50319375116,0.004813
416,17323.50341260256,0.006058
417,17323.50341260256,0.007531
418,17323.50343832369,0.008582
419,17323.503445495317,0.009618
420,17323.50375869199,0.007867
421,17323.503816328528,0.008822
422,17323.503816328528,0.012417
423,17323.50389004286,0.01049
424,17323.50407961734,0.010696
425,17323.504079844162,0.011327
426,17323.504191327957,0.010316
427,17323.504191327957,0.012869
428,17323.504385569,0.015294
429,17323.50445759883,0.012904
430,17323.504679809223,0.013316
431,17323.504679809223,0.015732
432,17323.504703629034,0.013272
433,17323.504736041457,0.013872
434,17323.5047857325,0.012805
435,17323.50503340718,0.015576
436,17323.505199985753,0.014394
437,17323.50524325902,0.015409
438,17323.5052874596,0.014434
439,17323.505462700832,0.015494
440,17323.505513616055,0.01727
441,17323.505627654948,0.014952
442,17323.50574026285,0.015018
443,17323.50574026285,0.016193
444,17323.505814847784,0.01767
445,17323.505995959746,0.018737
446,17323.5060883103,0.017486
447,17323.5060883103,0.020035
448,17323.506169022803,0.01791
449,17323.506266863824,0.023137
450,17323.506266863824,0.023812
451,17323.506520502626,0.023576
452,17323.506523941673,0.02536
453,17323.50665885167,0.02488
454,17323.50665885167,0.025625
455,17323.50665885167,0.027696
456,17323.50693685066,0.026812
457,17323.50693685066,0.029561
458,17323.507090260122,0.028355
459,17323.507090260122,0.02927
460,17323.507328808486,0.029694
461,17323.507425148466,0.028717
462,17323.507425148466,0.029564
463,17323.507547616526,0.027272
464,17323.507688006983,0.030155
465,17323.507812062802,0.026402
466,17323.507812062802,0.031992
467,17323.507921181626,0.028417
468,17323.50808441789,0.024655
469,17323.50808441789,0.026179
470,17323.50819418716,0.026951
471,17323.508370819356,0.02619
472,17323.508496919927,0.026899
473,17323.508591838923,0.026499
474,17323.50866944261,0.026817
475,17323.508754598188,0.024657
476,17323.508841685103,0.023127
477,17323.50891707059,0.024189
478,17323.509013857547,0.022221
479,17323.509091597996,0.01521
480,17323.50923101778,0.019299
481,17323.509350350334,0.016508
482,17323.50939919079,0.014651
483,17323.50939919079,0.019406
484,17323.5094835725,0.012782
485,17323.50963817612,0.013574
486,17323.50973525995,0.011681
487,17323.509850279523,0.011986
488,17323.51000624075,0.010182
489,17323.51000624075,0.010827
490,17323.510120056155,0.009494
491,17323.510120056155,0.01057
492,17323.51027697805,0.006688
493,17323.510382754557,0.008465
494,17323.510382754557,0.008971
495,17323.51060342055,0.007422
496,17323.51071093493,0.006619
497,17323.510797057843,0.008669
498,17323.510890422433,0.011295
499,17323.510960737745,0.008582
500,17323.511093049277,0.009883
501,17323.511093049277,0.01005
502,17323.511222008492,0.008853
503,17323.511379400712,0.01123
504,17323.51148035722,0.009033
505,17323.511636912193,0.009061
506,17323.511636912193,0.009585
507,17323.51171486946,0.014422
508,17323.51179236974,0.01594
509,17323.511888416186,0.012687
510,17323.511888416186,0.013272
511,17323.511888416186,0.013398
512,17323.511888416186,0.013437
513,17323.511888416186,0.014093
514,17323.511888416186,0.016228
515,17323.511888416186,0.016723
516,17323.511888416186,0.019023
517,17323.51275032913,0.02128
518,17323.512757734254,0.020948
519,17323.512861608495,0.02365
520,17323.512972887864,0.019854
521,17323.51308416723,0.020374
522,17323.513195446594,0.026241
523,17323.513306725963,0.025778
524,17323.51341800533,0.027934
525,17323.513529284694,0.035442
526,17323.513640564062,0.036605
527,17323.513751843428,0.039044
528,17323.513863122793,0.036367
529,17323.51397440216,0.043194
530,17323.514085681527,0.048792
531,17323.514196960892,0.052763
532,17323.51430824026,0.060372
533,17323.514419519626,0.065454
534,17323.51453079899,0.065126
535,17323.514642078357,0.073104
536,17323.514753357726,0.088107
537,17323.51486463709,0.09082
538,17323.514975916456,0.090214
539,17323.515087195825,0.109234
540,17323.51519847519,0.110209
541,17323.515309754555,0.13092
542,17323.515421033924,0.104546
543,17323.51553231329,0.096515
544,17323.515643592655,0.083261
545,17323.515754872024,0.072393
546,17323.51586615139,0.190658
547,17323.515977430754,0.198112
548,17323.516088710123,0.163993
549,17323.516199989488,0.148907
550,17323.516311268853,0.131671
551,17323.516422548222,0.124605
552,17323.516533827587,0.026959
553,17323.516645106953,0.053106
554,17323.51675638632,0.098633
555,17323.516867665687,0.176051
556,17323.516978945052,0.204509
557,17323.51709022442,0.201001
558,17323.517201503786,0.194139
559,17323.51731278315,0.181999
560,17323.51742406252,0.181144
561,17323.517535341885,0.176892
562,17323.51764662125,0.07193
563,17323.51775790062,0.089592
564,17323.517869179985,0.057456
565,17323.51798045935,0.050224
566,17323.518091738715,0.087142
567,17323.518203018084,0.110592
568,17323.51831429745,0.142662
569,17323.518425576814,0.117869
570,17323.518536856183,0.101042
571,17323.51864813555,0.104633
572,17323.518759414914,0.079272
573,17323.518870694283,0.082426
574,17323.518981973648,0.076769
575,17323.519093253013,0.070555
576,17323.519204532382,0.06729
577,17323.519315811747,0.066717
578,17323.519427091112,0.070435
579,17323.519482730797,0.068758
580,17323.51964543002,0.062773
581,17323.51964543002,0.065397
582,17323.51964543002,0.066095
583,17323.519928896123,0.060369
584,17323.520139698627,0.062095
585,17323.520139698627,0.06336
586,17323.52014100286,0.05348
587,17323.520911876156,0.058669
588,17323.52097687779,0.053496
589,17323.52106626296,0.047863
590,17323.521327803897,0.054791
591,17323.521420127767,0.049365
592,17323.52171503512,0.051773
593,17323.5218008645,0.042213
594,17323.521826422177,0.04325
595,17323.521887427716,0.050251
596,17323.52209798338,0.038763
597,17323.52211627937,0.02494
598,17323.522272704253,0.041884
599,17323.52235869374,0.027564
600,17323.52235869374,0.028752
601,17323.52235869374,0.030526
602,17323.522450707394,0.03523
603,17323.522515482207,0.01371
604,17323.522515482207,0.014612
605,17323.522515482207,0.014926
606,17323.522515482207,0.015852
607,17323.522605391074,0.03099
608,17323.52265983207,0.022574
609,17323.52265983207,0.024767
610,17323.522709783294,0.006618
611,17323.522709783294,0.008962
612,17323.52296556024,0.00824
613,17323.52296556024,0.009203
614,17323.52298737867,0.002547
615,17323.522998593093,0.018822
616,17323.523016638912,0.003889
617,17323.523016638912,0.005364
618,17323.523039017728,0.027532
619,17323.523329061714,0.002342
620,17323.523398703226,0.000246
621,17323.523398703226,0.002774
622,17323.523398703226,0.004503
623,17323.523483972214,0.005562
624,17323.523574258008,0.002975
625,17323.523630616997,0.011127
626,17323.523630616997,0.011935
627,17323.523630616997,0.012898
628,17323.523751624045,0.001648
629,17323.52419448042,0.003153
630,17323.524229284496,0.000877
631,17323.524422594895,0.002046
632,17323.52443842251,0.004707
633,17323.524691577644,0.002191
634,17323.525163614202,0.002964
635,17323.525269303987,0.001121
636,17323.525269303987,0.00322
637,17323.525311022848,0.001175
638,17323.525311022848,0.002684
639,17323.525311022848,0.002858
640,17323.5254004814,0.002351
641,17323.52550312241,0.001587
